Date,Long:BRAZILIAN REAL,Short:BRAZILIAN REAL,Net:BRAZILIAN REAL
2011-04-05,32067,26202,5865
2011-04-12,31884,26202,5682
2011-04-19,31911,26202,5709
2011-05-24,28797,26201,2596
2011-05-31,29743,27129,2614
2011-06-14,30165,27209,2956
2011-06-21,30074,27209,2865
2011-06-28,30195,27209,2986
2011-07-05,34133,10098,24035
2011-07-12,33831,10228,23603
2011-07-19,13881,10525,3356
2011-07-26,16582,12279,4303
2011-08-02,16551,12275,4276
2011-08-23,17730,12849,4881
2011-08-30,18516,12860,5656
2011-09-06,20641,15842,4799
2011-09-13,21562,17591,3971
2011-09-27,18703,16831,1872
2011-10-04,11826,16978,-5152
2012-04-17,15816,13686,2130
2012-04-24,15277,14517,760
2012-05-01,13597,14503,-906
2012-05-08,13700,14701,-1001
2012-05-15,14370,15146,-776
2012-05-22,14500,15147,-647
2012-05-29,14401,14313,88
2012-06-05,14382,14948,-566
2012-06-12,14540,14987,-447
2012-06-19,14870,14900,-30
2012-06-26,14920,14896,24
2012-07-03,14821,14965,-144
2012-07-10,14569,15105,-536
2012-07-17,12965,13907,-942
2012-07-24,12972,13931,-959
2012-07-31,13053,13939,-886
2012-08-07,13917,14285,-368
2012-08-14,14124,14285,-161
2012-08-21,14126,14285,-159
2012-08-28,14076,14043,33
2012-09-11,13640,13765,-125
2012-09-18,14673,14003,670
2012-09-25,17257,16513,744
2012-10-09,18573,532,18041
2012-10-16,18773,532,18241
2012-10-23,18772,496,18276
2012-10-30,18643,491,18152
2012-11-06,19030,692,18338
2012-11-13,18950,692,18258
2012-11-20,18953,946,18007
2012-11-27,19208,1968,17240
2012-12-04,19296,3680,15616
2012-12-11,21143,4729,16414
2012-12-18,21614,8086,13528
2012-12-24,22347,7583,14764
2012-12-31,22143,7430,14713
2013-01-08,22376,6421,15955
2013-01-15,15508,8530,6978
2013-01-22,15600,8513,7087
2013-01-29,18272,8816,9456
2013-02-05,15775,6732,9043
2013-02-12,15850,7551,8299
2013-02-19,17618,9702,7916
2013-02-26,17430,11088,6342
2013-03-05,16638,7038,9600
2013-03-12,16332,6617,9715
2013-03-19,18370,6353,12017
2013-03-26,18581,6295,12286
2013-04-02,16461,7831,8630
2013-04-09,18201,6503,11698
2013-04-16,18510,6420,12090
2013-04-23,18768,8356,10412
2013-04-30,19425,8362,11063
2013-05-07,18718,3501,15217
2013-05-14,21514,3174,18340
2013-05-21,21477,3575,17902
2013-05-28,21918,3887,18031
2013-06-04,12244,7137,5107
2013-06-11,12857,6532,6325
2013-06-18,12015,3856,8159
2013-06-25,9566,5645,3921
2013-07-02,6211,4670,1541
2013-07-09,6203,4654,1549
2013-07-16,6540,4836,1704
2013-07-23,6518,4625,1893
2013-07-30,6661,4389,2272
2013-08-06,5013,3965,1048
2013-08-13,4256,3915,341
2013-08-20,5416,5207,209
2013-08-27,5411,4506,905
2013-09-03,5548,4463,1085
2013-09-10,5868,4225,1643
2013-09-17,4842,3139,1703
2013-09-24,4393,3239,1154
2013-10-01,4164,3279,885
2013-10-15,5071,3285,1786
2013-11-26,5927,1336,4591
2014-01-14,4998,4469,529
2014-01-21,4970,4432,538
2014-01-28,4360,4346,14
2014-02-04,8350,8303,47
2014-02-18,5278,4422,856
2014-02-25,6512,6116,396
2014-03-04,12103,4832,7271
2014-03-11,13914,6094,7820
2014-03-18,13092,5555,7537
2014-03-25,18467,11415,7052
2014-04-01,15347,7538,7809
2014-04-08,16367,6934,9433
2014-04-15,17050,7444,9606
2014-04-22,14406,6491,7915
2014-04-29,14635,7037,7598
2014-05-06,14878,5725,9153
2014-05-13,14733,5739,8994
2014-05-20,14665,5737,8928
2014-05-27,14652,5492,9160
2014-06-03,13805,4583,9222
2014-06-10,13273,4825,8448
2014-06-17,13306,5016,8290
2014-06-24,19276,5021,14255
2014-07-01,23493,5885,17608
2014-07-08,23760,8214,15546
2014-07-15,23517,8175,15342
2014-07-22,22900,8315,14585
2014-07-29,23832,7453,16379
2014-08-05,21875,5767,16108
2014-08-12,20117,5579,14538
2014-08-19,21016,17411,3605
2014-08-26,23568,30321,-6753
2014-09-02,30054,33055,-3001
2014-09-09,26912,27593,-681
2014-09-16,21923,26161,-4238
2014-09-23,18271,25831,-7560
2014-09-30,12990,29690,-16700
2014-10-07,7195,28316,-21121
2014-10-14,5553,25645,-20092
2014-10-21,8002,28911,-20909
2014-10-28,7851,28978,-21127
2014-11-04,6447,49991,-43544
2014-11-11,8857,53512,-44655
2014-11-18,8111,55915,-47804
2014-11-25,7818,55604,-47786
2014-12-02,5864,55011,-49147
2014-12-09,5060,55141,-50081
2014-12-16,4485,54645,-50160
2014-12-23,5173,55077,-49904
2014-12-30,5520,34972,-29452
2015-01-06,4890,4901,-11
2015-01-27,14337,10569,3768
2015-02-10,15365,6695,8670
2015-02-17,11040,4680,6360
2015-02-24,18149,13588,4561
2015-03-03,4958,13556,-8598
2015-03-10,5685,14235,-8550
2015-03-17,4961,12144,-7183
2015-03-31,5737,13771,-8034
2015-04-14,4270,11531,-7261
2015-04-21,9033,14050,-5017
2015-04-28,10968,15734,-4766
2015-05-12,10367,4553,5814
2015-05-19,9229,4424,4805
2015-05-26,9290,5414,3876
2015-06-02,7577,8828,-1251
2015-06-09,8346,9758,-1412
2015-06-16,7895,9209,-1314
2015-06-23,7112,7291,-179
2015-06-30,9977,6433,3544
2015-07-07,8643,6363,2280
2015-07-14,10447,6905,3542
2015-07-21,14347,8141,6206
2015-07-28,8221,8214,7
2015-08-04,8396,12860,-4464
2015-08-11,8866,14071,-5205
2015-08-18,12134,22435,-10301
2015-08-25,10783,16700,-5917
2015-09-01,11550,18182,-6632
2015-09-08,10172,16017,-5845
2015-09-15,12219,17979,-5760
