Date,その他の輸送用機械器具製造業
2008-03-01,73170
2008-06-01,73332
2008-09-01,93311
2008-12-01,84468
2009-03-01,125339
2009-06-01,42316
2009-09-01,42923
2009-12-01,32334
2010-03-01,48455
2010-06-01,32953
2010-09-01,52295
2010-12-01,50231
2011-03-01,54029
2011-06-01,33603
2011-09-01,55865
2011-12-01,50838
2012-03-01,53734
2012-06-01,38667
2012-09-01,53423
2012-12-01,48421
2013-03-01,72995
2013-06-01,54337
2013-09-01,50457
2013-12-01,62526
2014-03-01,76540
2014-06-01,36798
2014-09-01,50693
2014-12-01,49122
2015-03-01,87588
2015-06-01,53065
