Date,前週差_Weekly U.S. Ending Stocks of Distillate Fuel Oil  (Thousand Barrels)
2014-10-10,-1518
2014-10-17,1049
2014-10-24,-5294
2014-10-31,-724
2014-11-07,-2803
2014-11-14,-2056
2014-11-21,-1648
2014-11-28,3028
2014-12-05,5577
2014-12-12,-207
2014-12-19,2303
2014-12-26,1874
2015-01-02,11205
2015-01-09,2925
2015-01-16,-3272
2015-01-23,-3892
2015-01-30,1788
2015-02-06,-3252
2015-02-13,-3814
2015-02-20,-2711
2015-02-27,-1722
2015-03-06,2527
2015-03-13,380
2015-03-20,-34
2015-03-27,1325
2015-04-03,-250
2015-04-10,2017
2015-04-17,395
2015-04-24,-66
2015-05-01,1503
2015-05-08,-2503
2015-05-15,-546
2015-05-22,1115
2015-05-29,3773
2015-06-05,865
2015-06-12,114
2015-06-19,1837
2015-06-26,392
2015-07-03,1641
2015-07-10,3819
2015-07-17,235
2015-07-24,2588
2015-07-31,709
2015-08-07,2994
2015-08-14,594
2015-08-21,1436
2015-08-28,115
2015-09-04,952
2015-09-11,3060
2015-09-18,-2088
2015-09-25,-267
2015-10-02,-2458
2015-10-09,-1520
2015-10-16,-2622
2015-10-23,-2951
2015-10-30,-1300
2015-11-06,352
2015-11-13,-791
2015-11-20,1046
